year,state,office,district,stage,forecast_final,actual_result,forecast_error
2020,MO,State House,78,general,0.86,0.85,0
2020,ME,State House,51,general,0.62,0.58,0.04
2020,NC,State House,44,general,0.76,0.72,0.04
2020,CT,State House,33,general,0.61,0.64,0.04
2020,NM,State House,25,general,0.59,0.6,0.02
2020,GA,State House,36,general,0.34,0.35,0.01
2020,HI,State House,13,general,0.73,0.68,0.05
2020,CO,State House,33,general,0.61,0.64,0.02
2020,ME,State House,140,general,0.62,0.6,0.02
2020,MI,State House,18,general,0.65,0.6,0.05
2020,ME,State Senate,24,general,0.64,0.66,0.02
2020,MO,State House,160,general,0.25,0.21,0.04
2020,PA,State House,182,general,0.81,0.83,0.02
2020,WV,State House,67,general,0.56,0.54,0.02
2020,WV,State House,9,general,0.36,0.3,0.07
2020,NH,State Senate,13,general,0.62,0.58,0.04
2020,OK,State House,45,general,0.6,0.52,0.08
2020,IL,State House,78,general,0.75,0.81,0.06
2020,CT,State House,48,general,0.59,0.53,0.05
2020,NM,State House,7,general,0.45,0.41,0.04
2020,FL,State House,49,general,0.64,0.62,0.03
2020,TX,State House,118,general,0.59,0.57,0.02
2020,CT,State House,5,general,0.88,0.84,0.04
2020,FL,State House,73,general,0.38,0.35,0.02
2020,WI,State House,19,general,0.78,0.79,0
2020,MN,State House,16B,general,0.38,0.32,0.06
2020,AZ,State House,1,general,0.25,0.22,0.03
2020,CO,State House,62,general,0.56,0.58,0.01
2020,MT,State House,74,general,0.65,0.65,0.01
2020,SC,State House,123,general,0.37,0.37,0
2020,NM,State House,29,general,0.55,0.54,0
2020,IA,State House,49,general,0.4,0.39,0
2020,CO,US House,6,general,0.55,0.58,0.02
2020,SD,State Senate,18,general,0.44,0.4,0.04
2020,PA,State House,77,general,0.66,0.66,0
2020,NJ,US House,1,general,0.63,0.65,0.01
2020,ME,State Senate,15,general,0.44,0.42,0.01
2020,MT,State House,73,general,0.63,0.61,0.03
2020,NJ,US House,4,general,0.43,0.41,0.02
2020,OH,State House,43,general,0.5,0.46,0.04
2020,IL,State House,72,general,0.65,0.6,0.05
2020,VA,US House,7,general,0.53,0.51,0.02
2020,GA,State House,17,general,0.28,0.28,0
2020,ME,State House,84,general,0.53,0.53,0
2020,NV,State House,35,general,0.58,0.53,0.05
2020,WV,State House,47,general,0.39,0.35,0.04
2020,RI,State House,52,general,0.59,0.51,0.08
2020,UT,State House,3,general,0.27,0.27,0
2020,NY,State Senate,31,general,0.9,0.87,0.03
2020,VT,Governor,VT,general,0.34,0.27,0.06
2020,MN,State House,1B,general,0.35,0.29,0.06
2020,NM,State House,34,general,0.71,0.66,0.05
2020,TX,US House,16,general,0.73,0.64,0.09
2020,ME,State House,26,general,0.61,0.57,0.03
2020,AR,State House,96,general,0.36,0.36,0
2020,WV,State Senate,16,general,0.46,0.48,0.02
2020,KS,State House,41,general,0.54,0.47,0.07
2020,MI,US Senate,MI,general,0.51,0.5,0.01
2020,TX,State House,84,general,0.39,0.39,0.01
2020,WI,State House,3,general,0.4,0.41,0
2020,TX,US House,22,general,0.51,0.44,0.06
2020,IA,State House,34,general,0.72,0.66,0.06
2020,CA,State House,25,general,0.71,0.73,0.02
2020,MO,State House,110,general,0.39,0.35,0.04
2020,WI,State House,28,general,0.4,0.36,0.04
2020,TN,State House,30,general,0.42,0.38,0.04
2020,WV,State House,6,general,0.27,0.27,0
2020,NC,State Senate,24,general,0.5,0.47,0.03
2020,FL,State House,64,general,0.46,0.46,0
2020,MD,US House,5,general,0.74,0.67,0.07
2020,RI,State Senate,37,general,0.69,0.69,0
2020,MI,State House,3,general,0.85,0.93,0.08
2020,MN,State House,41B,general,0.67,0.71,0.04
2020,KS,State House,47,general,0.37,0.29,0.09
2020,WI,State House,15,general,0.45,0.45,0
2020,OH,US House,15,general,0.42,0.37,0.06
2020,GA,State House,22,general,0.27,0.25,0.02
2020,MI,State House,99,general,0.44,0.37,0.08
2020,AZ,State House,22,general,0.13,0.18,0.06
2020,PA,State House,187,general,0.4,0.31,0.09
2020,KS,State House,72,general,0.53,0.45,0.08
2020,PA,State House,177,general,0.62,0.58,0.04
2020,OH,State House,50,general,0.36,0.33,0.03
2020,KY,State House,32,general,0.53,0.53,0
2020,MI,State House,107,general,0.41,0.39,0.02
2020,ID,State Senate,16,general,0.67,0.62,0.04
2020,UT,State House,34,general,0.6,0.59,0.01
2020,FL,State House,37,general,0.39,0.37,0.02
2020,RI,US House,2,general,0.64,0.58,0.06
2020,MT,State House,23,general,0.57,0.49,0.08
2020,NC,State Senate,29,general,0.34,0.25,0.09
2020,IL,US House,6,general,0.48,0.52,0.04
2020,NY,State House,18,general,0.82,0.84,0.02
2020,IL,US House,11,general,0.64,0.63,0.01
2020,NC,State Senate,33,general,0.38,0.29,0.08
2020,NC,State House,41,general,0.61,0.62,0.01
2020,MI,State House,50,general,0.59,0.54,0.05
2020,ME,State Senate,25,general,0.61,0.62,0.01
2020,IN,State House,17,general,0.33,0.25,0.07
2020,CA,State House,15,general,0.85,0.86,0.01
2020,OH,State House,65,general,0.36,0.34,0.02
2020,NC,State House,37,general,0.52,0.47,0.05
2020,MN,State House,46A,general,0.75,0.7,0.05
2020,FL,State House,36,general,0.41,0.37,0.04
2020,FL,State House,120,general,0.49,0.45,0.04
2020,PA,State House,199,general,0.4,0.32,0.08
2020,NV,State House,32,general,0.3,0.26,0.04
2020,NJ,US House,2,general,0.51,0.46,0.05
2020,MN,State House,16A,general,0.35,0.31,0.04
2020,ME,State House,46,general,0.53,0.53,0
2020,IN,State House,70,general,0.36,0.3,0.06
2020,TX,State House,20,general,0.3,0.29,0.01
2020,CT,State Senate,28,general,0.5,0.48,0.02
2020,ME,State House,48,general,0.65,0.66,0.01
2020,WV,State Senate,5,general,0.62,0.53,0.09
