year,state,office,district,stage,forecast_final,actual_result,forecast_error
2020,MN,State House,20B,general,0.58,0.53,0.05
2020,TN,State House,37,general,0.43,0.42,0.01
2020,ME,State House,4,general,0.58,0.58,0
2020,AZ,State House,18,general,0.35,0.29,0.06
2020,MN,State House,59B,general,0.79,0.75,0.04
2020,CA,State House,67,general,0.33,0.41,0.08
2020,CT,State House,104,general,0.56,0.6,0.03
2020,KS,State House,99,general,0.33,0.33,0
2020,PA,State House,127,general,0.79,0.73,0.06
2020,OH,State House,33,general,0.81,0.75,0.07
2020,OH,State House,99,general,0.49,0.41,0.07
2020,MI,State House,98,general,0.48,0.41,0.07
2020,MN,State House,51B,general,0.58,0.6,0.02
2020,IL,State House,96,general,0.59,0.52,0.07
2020,NC,State House,102,general,0.81,0.78,0.02
2020,NC,State Senate,8,general,0.41,0.35,0.06
2020,NY,State House,124,general,0.38,0.31,0.07
2020,OH,US House,3,general,0.75,0.71,0.04
2020,MI,State House,37,general,0.58,0.64,0.06
2020,DE,State House,34,general,0.4,0.43,0.02
2020,SD,State House,7,general,0.2,0.21,0
2020,VA,US House,7,general,0.5,0.51,0
2020,IL,US House,1,general,0.66,0.7,0.04
2020,CO,State House,56,general,0.38,0.39,0
2020,CT,State House,79,general,0.54,0.53,0.01
2020,HI,State House,20,general,0.66,0.75,0.08
2020,WI,State House,38,general,0.42,0.41,0
2020,SC,State House,47,general,0.3,0.27,0.03
2020,PA,State House,83,general,0.36,0.33,0.03
2020,IL,State House,112,general,0.55,0.54,0.02
2020,IL,State House,114,general,0.61,0.57,0.04
2020,SD,State Senate,34,general,0.39,0.36,0.03
2020,TX,State House,14,general,0.41,0.43,0.02
2020,IA,State House,89,general,0.55,0.55,0
2020,ME,State Senate,32,general,0.62,0.57,0.05
2020,KS,State House,57,general,0.61,0.63,0.02
2020,CT,State House,12,general,0.7,0.67,0.03
2020,SC,State House,78,general,0.59,0.66,0.07
2020,MO,State House,117,general,0.29,0.27,0.03
2020,NY,State Senate,18,general,0.89,0.98,0.08
2020,MS,US House,3,general,0.39,0.33,0.06
2020,CA,State House,29,general,0.81,0.75,0.05
2020,IN,State House,35,general,0.52,0.45,0.07
2020,CA,State House,30,general,0.78,0.71,0.07
2020,NC,US House,9,general,0.48,0.44,0.03
2020,GA,State Senate,56,general,0.47,0.48,0.01
2020,ME,State House,131,general,0.48,0.41,0.07
2020,HI,State House,22,general,0.66,0.68,0.02
2020,FL,State House,112,general,0.6,0.53,0.07
2020,OH,US House,10,general,0.48,0.42,0.05
2020,CO,State House,44,general,0.4,0.42,0.03
2020,MO,State House,72,general,0.64,0.61,0.03
2020,WV,State House,2,general,0.56,0.56,0.01
2020,ME,State Senate,1,general,0.63,0.59,0.03
2020,MO,State House,65,general,0.48,0.46,0.02
2020,GA,State House,49,general,0.44,0.47,0.03
2020,OR,State House,36,general,0.75,0.83,0.08
2020,WV,State House,5,general,0.61,0.54,0.07
2020,ID,State Senate,26,general,0.61,0.56,0.05
2020,MI,State House,10,general,0.82,0.86,0.05
2020,WI,State House,66,general,0.76,0.7,0.06
2020,KY,State House,73,general,0.36,0.35,0.01
2020,MN,State House,30A,general,0.38,0.33,0.05
2020,MN,State House,55A,general,0.51,0.45,0.06
2020,PA,US House,11,general,0.37,0.31,0.06
2020,WV,State House,19,general,0.18,0.19,0.01
2020,MN,State House,40A,general,0.75,0.73,0.02
2020,IN,US House,7,general,0.65,0.61,0.04
2020,TX,State House,146,general,0.85,0.87,0.02
2020,IL,State House,17,general,0.65,0.63,0.03
2020,MI,State House,62,general,0.54,0.51,0.03
2020,KY,State House,100,general,0.54,0.46,0.09
2020,AR,State House,87,general,0.32,0.26,0.05
2020,ID,State Senate,21,general,0.37,0.36,0.01
2020,ME,State House,32,general,0.71,0.72,0.01
2020,MO,US House,2,general,0.48,0.45,0.03
2020,CT,State Senate,18,general,0.51,0.48,0.04
2020,MI,State House,24,general,0.44,0.42,0.02
2020,KS,State House,89,general,0.6,0.61,0.01
2020,NV,State House,5,general,0.55,0.55,0.01
2020,NC,State House,40,general,0.55,0.57,0.01
2020,WY,State House,14,general,0.49,0.51,0.02
2020,RI,State House,28,general,0.51,0.41,0.09
2020,FL,US House,19,general,0.38,0.39,0
2020,MI,US House,1,general,0.4,0.37,0.02
2020,FL,State House,67,general,0.45,0.43,0.02
2020,PA,State House,126,general,0.69,0.67,0.02
2020,WI,State House,32,general,0.38,0.38,0
2020,WA,US House,10,general,0.5,0.42,0.08
2020,OR,State House,48,general,0.87,0.79,0.08
2020,NV,State House,27,general,0.6,0.58,0.02
2020,MT,State House,20,general,0.34,0.32,0.01
2020,MO,State House,13,general,0.46,0.44,0.02
2020,CA,US House,31,general,0.69,0.64,0.05
2020,MN,State House,4B,general,0.61,0.53,0.08
2020,NV,State House,7,general,0.65,0.68,0.02
2020,MI,State House,12,general,0.69,0.62,0.07
2020,IL,State House,48,general,0.57,0.53,0.03
2020,GA,State House,52,general,0.48,0.51,0.02
2020,CT,State House,81,general,0.45,0.41,0.04
2020,SD,State Senate,10,general,0.4,0.37,0.03
2020,NC,State House,82,general,0.49,0.47,0.02
2020,WI,State House,43,general,0.62,0.55,0.07
2020,MN,State House,47B,general,0.5,0.48,0.01
2020,MI,US House,7,general,0.42,0.41,0.01
2020,DE,State House,29,general,0.6,0.56,0.04
2020,ME,State Senate,22,general,0.37,0.39,0.02
2020,WY,State House,11,general,0.44,0.45,0.01
2020,AZ,State House,14,general,0.15,0.17,0.02
2020,CO,State House,24,general,0.64,0.64,0
2020,ME,State House,13,general,0.62,0.55,0.07
2020,MI,State House,39,general,0.46,0.47,0.01
2020,PA,State House,25,general,0.6,0.57,0.03
2020,ME,State House,108,general,0.41,0.45,0.04
2020,OR,State House,18,general,0.34,0.31,0.03
2020,MO,State House,133,general,0.36,0.35,0.01
2020,WI,State House,92,general,0.46,0.41,0.05
2020,TX,State House,5,general,0.23,0.2,0.03
2020,DE,US Senate,DE,general,0.56,0.59,0.03
2020,MD,US House,1,general,0.4,0.33,0.07
2020,TX,State House,107,general,0.59,0.56,0.03
2020,OH,State House,25,general,0.81,0.82,0.01
2020,FL,State House,39,general,0.41,0.41,0
2020,CT,State House,137,general,0.69,0.67,0.02
2020,VA,US House,5,general,0.51,0.46,0.04
2020,NH,State Senate,9,general,0.52,0.49,0.02
2020,NH,State Senate,18,general,0.58,0.54,0.04
2020,MT,State House,59,general,0.36,0.35,0
2020,CO,State House,20,general,0.34,0.39,0.05
2020,MO,State House,70,general,0.54,0.54,0
2020,MN,State House,13B,general,0.37,0.32,0.05
2020,GA,State Senate,17,general,0.48,0.49,0.01
2020,NC,State Senate,12,general,0.45,0.39,0.06
2020,MN,State House,43A,general,0.64,0.61,0.03
2020,NC,State House,76,general,0.43,0.39,0.04
2020,WI,State House,9,general,0.76,0.73,0.03
2020,IA,State House,66,general,0.62,0.6,0.02
2020,WY,State House,60,general,0.35,0.31,0.04
2020,CO,US House,2,general,0.62,0.63,0
2020,KS,State House,27,general,0.38,0.36,0.02
2020,AZ,State Senate,6,general,0.47,0.46,0.01
2020,ME,State House,5,general,0.41,0.37,0.04
2020,TX,State House,148,general,0.65,0.64,0.02
2020,CT,State House,66,general,0.44,0.43,0.02
2020,MI,State House,45,general,0.46,0.48,0.02
2020,MI,State House,63,general,0.37,0.34,0.02
2020,KS,State House,35,general,0.82,0.8,0.02
2020,UT,State House,68,general,0.21,0.16,0.05
2020,TN,State House,95,general,0.28,0.3,0.02
2020,WI,State House,81,general,0.6,0.57,0.04
2020,PA,State House,28,general,0.48,0.44,0.04
2020,TX,State House,89,general,0.36,0.38,0.02
2020,NM,State House,33,general,0.65,0.62,0.03
2020,MT,State House,1,general,0.29,0.29,0
2020,CA,State House,6,general,0.42,0.42,0
2020,NC,State Senate,42,general,0.35,0.29,0.07
2020,CT,State House,118,general,0.56,0.55,0.01
2020,MI,State House,21,general,0.61,0.59,0.02
2020,MN,State House,56A,general,0.52,0.52,0
2020,PA,State House,41,general,0.46,0.42,0.04
2020,NC,State House,58,general,0.78,0.76,0.01
2020,MI,State House,19,general,0.52,0.5,0.02
2020,WI,State House,93,general,0.4,0.38,0.02
2020,GA,State House,40,general,0.55,0.58,0.04
2020,OR,State House,55,general,0.28,0.26,0.02
2020,ME,State House,65,general,0.47,0.41,0.06
2020,SC,State House,114,general,0.43,0.44,0.01
2020,CT,US House,1,general,0.64,0.64,0
2020,WI,State House,2,general,0.39,0.37,0.02
2020,MN,State House,42A,general,0.58,0.61,0.03
2020,CT,State House,135,general,0.56,0.57,0
2020,CO,State House,19,general,0.32,0.26,0.05
2020,OH,State House,89,general,0.37,0.43,0.05
2020,FL,US House,17,general,0.38,0.34,0.04
2020,WI,State House,16,general,0.9,0.89,0.01
2020,IN,State House,66,general,0.48,0.44,0.04
2020,GA,State House,93,general,0.78,0.84,0.06
2020,NY,State Senate,37,general,0.66,0.58,0.08
2020,MO,US House,6,general,0.32,0.31,0.01
2020,WI,State House,80,general,0.66,0.65,0.01
2020,MN,US House,5,general,0.63,0.65,0.01
2020,IL,State House,76,general,0.56,0.54,0.02
2020,NJ,US Senate,NJ,general,0.64,0.61,0.03
2020,SC,State House,110,general,0.44,0.39,0.05
2020,ME,US Senate,ME,general,0.5,0.43,0.07
2020,MI,State House,9,general,0.88,0.94,0.06
2020,IL,State House,49,general,0.53,0.54,0.01
2020,KY,State House,68,general,0.39,0.33,0.06
2020,TN,State House,96,general,0.57,0.59,0.03
2020,NC,State Senate,35,general,0.37,0.36,0.01
2020,NV,State House,40,general,0.45,0.4,0.04
2020,SC,US House,5,general,0.46,0.4,0.06
2020,KS,State House,94,general,0.38,0.32,0.06
2020,NY,US House,24,general,0.37,0.38,0.02
2020,IA,State House,27,general,0.32,0.26,0.06
2020,FL,State House,103,general,0.55,0.46,0.09
2020,MO,State House,15,general,0.64,0.58,0.06
2020,NV,State House,2,general,0.48,0.44,0.03
2020,NM,US Senate,NM,general,0.55,0.51,0.03
2020,ME,State House,124,general,0.65,0.63,0.02
2020,FL,US House,11,general,0.38,0.33,0.05
2020,MT,State House,3,general,0.49,0.4,0.09
2020,CA,US House,4,general,0.44,0.45,0.01
2020,WV,State House,46,general,0.39,0.3,0.09
2020,AZ,State Senate,29,general,0.71,0.7,0.01
2020,OH,State House,70,general,0.34,0.29,0.05
2020,CT,State House,26,general,0.62,0.64,0.02
2020,CA,State House,49,general,0.67,0.68,0.01
2020,FL,State House,29,general,0.49,0.47,0.03
2020,NM,State House,42,general,0.71,0.74,0.03
2020,CO,State House,48,general,0.37,0.34,0.03
2020,PA,State House,172,general,0.68,0.6,0.09
2020,SD,State House,32,general,0.16,0.2,0.03
2020,SD,State House,31,general,0.31,0.23,0.07
2020,MT,State House,79,general,0.58,0.55,0.02
2020,CO,State House,46,general,0.6,0.53,0.06
2020,MO,State House,16,general,0.46,0.43,0.04
2020,IA,US House,1,general,0.53,0.49,0.05
2020,IA,State House,70,general,0.67,0.75,0.07
2020,NC,State Senate,40,general,0.76,0.72,0.04
2020,CO,State House,58,general,0.39,0.35,0.04
2020,NY,State House,128,general,0.65,0.61,0.04
2020,HI,State House,10,general,0.69,0.61,0.08
2020,CT,State House,56,general,0.58,0.58,0
2020,OH,State House,1,general,0.31,0.31,0
2020,FL,State House,31,general,0.43,0.4,0.02
2020,MI,State House,43,general,0.44,0.4,0.04
2020,NY,State House,80,general,0.7,0.78,0.08
2020,FL,State House,83,general,0.48,0.44,0.04
2020,NC,State House,17,general,0.42,0.38,0.04
2020,OR,State House,33,general,0.8,0.76,0.04
2020,NC,State House,73,general,0.39,0.35,0.03
2020,FL,US House,1,general,0.32,0.34,0.02
2020,CA,US House,33,general,0.71,0.7,0
2020,MN,State House,22B,general,0.35,0.27,0.08
2020,MT,State House,99,general,0.61,0.64,0.04
2020,MT,State House,93,general,0.47,0.43,0.04
2020,RI,State House,61,general,0.66,0.64,0.02
2020,NM,State House,10,general,0.71,0.62,0.08
2020,MI,State House,108,general,0.39,0.36,0.03
2020,MN,State House,57A,general,0.56,0.56,0
2020,OR,State House,14,general,0.63,0.59,0.04
2020,CA,State House,32,general,0.65,0.59,0.06
2020,CT,State House,40,general,0.61,0.59,0.02
2020,MD,US House,6,general,0.6,0.56,0.04
2020,IA,State House,96,general,0.37,0.3,0.07
2020,TX,State House,67,general,0.51,0.48,0.02
2020,AZ,State Senate,2,general,0.58,0.62,0.03
2020,PA,State House,95,general,0.65,0.58,0.07
2020,AZ,State House,19,general,0.51,0.47,0.04
2020,MT,State House,82,general,0.58,0.56,0.02
2020,MT,State House,44,general,0.44,0.36,0.08
2020,NY,State House,6,general,0.76,0.74,0.02
2020,TN,State House,24,general,0.25,0.24,0.01
2020,OH,State House,6,general,0.53,0.51,0.02
2020,ME,State House,70,general,0.47,0.4,0.07
2020,WI,State House,95,general,0.67,0.66,0.01
2020,NH,State Senate,23,general,0.51,0.47,0.04
2020,RI,State House,16,general,0.55,0.54,0.02
2020,MT,State House,22,general,0.51,0.42,0.09
2020,NY,State House,125,general,0.67,0.65,0.02
2020,DE,State House,31,general,0.67,0.69,0.02
2020,OR,State House,8,general,0.7,0.68,0.02
2020,IA,State House,25,general,0.4,0.36,0.04
2020,ME,State Senate,14,general,0.57,0.56,0.01
2020,NY,US House,19,general,0.53,0.51,0.03
2020,CT,State House,106,general,0.49,0.49,0.01
2020,UT,US House,1,general,0.31,0.32,0
2020,NM,State House,68,general,0.59,0.52,0.07
2020,KY,US House,3,general,0.61,0.62,0.01
2020,IA,State House,99,general,0.6,0.57,0.03
2020,GA,State House,79,general,0.57,0.6,0.03
2020,SC,State House,97,general,0.46,0.38,0.08
2020,NC,State Senate,48,general,0.43,0.41,0.02
2020,CA,State House,43,general,0.75,0.71,0.04
2020,MT,State House,84,general,0.53,0.54,0
2020,FL,State House,69,general,0.54,0.48,0.07
2020,OH,State House,5,general,0.31,0.26,0.05
2020,WI,State House,31,general,0.42,0.4,0.02
2020,RI,State Senate,8,general,0.75,0.71,0.03
2020,OK,US House,1,general,0.32,0.33,0.01
2020,CA,State House,54,general,0.72,0.65,0.06
2020,MN,State House,32A,general,0.36,0.32,0.05
2020,MT,State House,91,general,0.74,0.83,0.09
2020,AZ,US House,6,general,0.5,0.48,0.02
2020,OK,State House,46,general,0.54,0.5,0.03
2020,MN,State House,65A,general,0.83,0.83,0.01
2020,SC,State House,12,general,0.55,0.58,0.03
2020,NC,State Senate,7,general,0.52,0.45,0.08
2020,SD,State House,8,general,0.16,0.22,0.06
2020,TN,US House,8,general,0.31,0.29,0.01
2020,SD,State House,9,general,0.17,0.19,0.02
2020,MT,State House,77,general,0.58,0.53,0.05
2020,MI,State House,51,general,0.38,0.36,0.02
2020,IA,State House,93,general,0.56,0.56,0
2020,FL,State House,22,general,0.4,0.36,0.04
2020,NH,State Senate,15,general,0.63,0.63,0
2020,GA,State House,45,general,0.38,0.45,0.07
2020,CA,US House,6,general,0.8,0.77,0.03
2020,NH,State Senate,5,general,0.65,0.66,0.01
2020,IA,State House,9,general,0.48,0.43,0.05
2020,WY,State House,44,general,0.53,0.49,0.03
2020,MN,State House,21B,general,0.37,0.33,0.04
2020,MN,State House,67A,general,0.82,0.73,0.09
2020,MT,State House,85,general,0.34,0.26,0.08
2020,MN,US House,8,general,0.43,0.39,0.04
2020,NC,State House,26,general,0.38,0.35,0.03
2020,OH,State House,3,general,0.44,0.42,0.02
2020,ME,State Senate,26,general,0.57,0.61,0.04
2020,UT,State House,54,general,0.51,0.46,0.04
2020,PA,State House,74,general,0.62,0.63,0.01
2020,MT,State House,81,general,0.56,0.56,0
2020,IA,State House,68,general,0.56,0.55,0.01
2020,MN,State House,50A,general,0.7,0.69,0.01
2020,AK,State House,13,general,0.34,0.32,0.02
2020,IN,State House,38,general,0.3,0.26,0.04
2020,IA,State House,60,general,0.52,0.51,0.01
2020,OH,State House,86,general,0.3,0.3,0
2020,IN,State House,34,general,0.61,0.56,0.05
2020,OR,State House,29,general,0.59,0.58,0.02
2020,KY,State House,95,general,0.59,0.6,0.01
2020,IA,State House,71,general,0.57,0.56,0.01
2020,NC,State House,101,general,0.77,0.74,0.04
2020,MN,State House,10B,general,0.34,0.31,0.04
2020,OH,State House,67,general,0.44,0.44,0.01
2020,PA,State House,159,general,0.8,0.72,0.08
2020,FL,State House,34,general,0.31,0.25,0.06
2020,MN,State House,46B,general,0.75,0.74,0.01
2020,MN,State House,14A,general,0.45,0.45,0
2020,CO,US House,3,general,0.47,0.46,0.02
2020,TX,State House,98,general,0.31,0.32,0.01
2020,UT,State House,32,general,0.6,0.56,0.03
2020,CT,State House,61,general,0.39,0.41,0.02
2020,ME,State House,14,general,0.61,0.63,0.02
2020,CA,State House,19,general,0.84,0.79,0.06
2020,KY,State House,65,general,0.62,0.6,0.01
2020,CA,US House,44,general,0.33,0.31,0.02
2020,CT,State House,69,general,0.47,0.46,0.01
2020,FL,State House,71,general,0.45,0.42,0.03
2020,CT,State Senate,27,general,0.68,0.63,0.05
2020,WV,State House,53,general,0.39,0.31,0.08
2020,NM,State House,46,general,0.8,0.77,0.03
2020,OH,State House,49,general,0.6,0.56,0.04
2020,PA,State House,141,general,0.62,0.61,0.01
2020,KY,State House,70,general,0.44,0.35,0.09
2020,MN,State House,13A,general,0.35,0.29,0.06
2020,MI,State House,59,general,0.4,0.36,0.04
2020,NC,State Senate,15,general,0.61,0.58,0.03
2020,TX,State House,106,general,0.39,0.41,0.03
2020,MN,State House,17A,general,0.36,0.31,0.05
2020,WA,US House,9,general,0.81,0.76,0.05
2020,WV,State House,19,general,0.18,0.25,0.07
2020,IA,State House,14,general,0.56,0.56,0
2020,SC,State House,22,general,0.36,0.36,0
2020,MO,State House,126,general,0.24,0.19,0.05
2020,TX,US House,34,general,0.6,0.54,0.05
2020,AZ,State House,7,general,0.36,0.35,0.01
2020,SD,State House,13,general,0.17,0.21,0.04
2020,OH,State House,56,general,0.63,0.59,0.04
2020,CT,State House,80,general,0.33,0.38,0.05
2020,NY,State House,130,general,0.35,0.27,0.08
2020,MO,State House,161,general,0.35,0.32,0.03
2020,AZ,State Senate,27,general,0.79,0.78,0.01
2020,TX,State House,31,general,0.65,0.58,0.06
2020,NC,State Senate,31,general,0.49,0.47,0.02
2020,TX,State House,114,general,0.57,0.54,0.04
2020,FL,State House,27,general,0.47,0.44,0.03
2020,NM,State House,50,general,0.6,0.52,0.08
2020,NC,State House,115,general,0.65,0.62,0.03
2020,IN,State House,41,general,0.27,0.25,0.02
2020,MN,State House,24A,general,0.4,0.39,0.02
2020,RI,State Senate,35,general,0.57,0.55,0.02
2020,KS,State House,28,general,0.46,0.47,0
2020,SD,State Senate,12,general,0.49,0.46,0.03
2020,IN,State House,27,general,0.56,0.62,0.06
2020,AK,State House,11,general,0.28,0.26,0.02
2020,NY,State House,81,general,0.85,0.79,0.07
2020,RI,State Senate,10,general,0.63,0.64,0.01
2020,GA,State House,173,general,0.38,0.41,0.02
2020,OR,State House,5,general,0.69,0.66,0.03
2020,NY,State Senate,26,general,0.83,0.76,0.07
2020,WI,US House,2,general,0.69,0.71,0.02
2020,MI,State House,81,general,0.37,0.32,0.05
2020,MD,US House,8,general,0.71,0.65,0.06
2020,CO,State House,22,general,0.44,0.46,0.02
2020,SC,US House,3,general,0.31,0.29,0.02
2020,OH,US House,1,general,0.49,0.45,0.05
2020,NY,State House,82,general,0.76,0.72,0.04
2020,ME,State House,59,general,0.6,0.57,0.02
2020,CT,State Senate,4,general,0.51,0.59,0.08
2020,NM,State House,51,general,0.36,0.35,0.02
2020,AZ,State House,11,general,0.28,0.31,0.03
2020,MO,State House,6,general,0.3,0.23,0.07
2020,ME,State Senate,6,general,0.41,0.37,0.04
2020,NC,State House,75,general,0.43,0.4,0.03
2020,SC,State House,44,general,0.53,0.45,0.08
2020,MN,State House,3A,general,0.62,0.52,0.09
2020,GA,State House,108,general,0.54,0.55,0.01
2020,OH,State House,78,general,0.36,0.27,0.08
2020,IA,State House,47,general,0.44,0.41,0.03
2020,WI,State House,54,general,0.62,0.54,0.08
2020,NC,State House,1,general,0.55,0.45,0.09
2020,WI,State House,56,general,0.38,0.39,0.02
2020,PA,State House,98,general,0.34,0.33,0.01
2020,ME,State Senate,33,general,0.41,0.37,0.03
2020,NC,State Senate,50,general,0.41,0.33,0.08
2020,NY,State House,34,general,0.83,0.76,0.07
2020,IN,State House,18,general,0.3,0.22,0.08
2020,MO,State House,14,general,0.52,0.54,0.02
2020,MT,State House,51,general,0.5,0.47,0.03
2020,NC,State House,68,general,0.38,0.37,0.01
2020,VA,US House,2,general,0.52,0.51,0.02
2020,PA,US House,2,general,0.69,0.65,0.03
2020,IL,State House,38,general,0.71,0.75,0.04
2020,NY,State House,43,general,0.89,0.88,0.01
2020,SD,State Senate,15,general,0.61,0.55,0.06
2020,CA,US House,30,general,0.69,0.71,0.02
2020,PA,State House,176,general,0.47,0.4,0.07
2020,IA,State House,64,general,0.48,0.44,0.04
2020,GA,State House,18,general,0.34,0.25,0.09
2020,SD,State Senate,13,general,0.44,0.44,0
2020,AZ,State House,29,general,0.37,0.32,0.06
2020,KS,State House,97,general,0.41,0.36,0.05
2020,IN,US House,1,general,0.58,0.56,0.02
2020,MO,State House,44,general,0.48,0.41,0.07
2020,NV,State House,15,general,0.67,0.64,0.02
2020,MN,State House,66A,general,0.76,0.74,0.02
2020,FL,State House,26,general,0.52,0.47,0.05
2020,GA,State House,19,general,0.38,0.38,0.01
2020,NJ,US House,3,general,0.52,0.54,0.02
2020,NC,State House,109,general,0.39,0.38,0.01
2020,GA,State House,107,general,0.59,0.61,0.02
2020,MO,US House,5,general,0.61,0.59,0.03
2020,PA,State House,115,general,0.62,0.64,0.01
2020,OR,State House,41,general,0.83,0.77,0.06
2020,IA,State House,19,general,0.41,0.39,0.02
2020,IL,State House,107,general,0.32,0.24,0.08
2020,MI,State House,100,general,0.33,0.3,0.03
2020,MN,State House,23B,general,0.4,0.35,0.04
2020,NV,US House,4,general,0.53,0.5,0.03
2020,AZ,State Senate,20,general,0.48,0.48,0
2020,GA,State House,164,general,0.49,0.46,0.03
2020,WV,State House,3,general,0.26,0.3,0.04
2020,CO,State House,3,general,0.62,0.6,0.01
2020,NC,State House,92,general,0.66,0.73,0.07
2020,DE,State House,8,general,0.6,0.57,0.03
2020,SC,State House,48,general,0.39,0.39,0
2020,KY,State House,67,general,0.61,0.53,0.08
2020,NY,State Senate,34,general,0.27,0.26,0.01
2020,WV,State Senate,8,general,0.53,0.56,0.03
2020,CA,US House,15,general,0.76,0.73,0.03
2020,IA,State House,10,general,0.33,0.24,0.09
2020,MI,State House,105,general,0.36,0.34,0.03
2020,GA,State House,46,general,0.38,0.39,0.01
2020,IL,US House,2,general,0.68,0.76,0.08
2020,FL,US House,18,general,0.44,0.41,0.03
2020,WY,US Senate,WY,general,0.36,0.27,0.09
2020,OH,State House,24,general,0.57,0.58,0.01
2020,WI,State House,30,general,0.48,0.44,0.03
2020,MN,State House,9B,general,0.28,0.23,0.05
2020,MN,State House,61B,general,0.84,0.84,0
2020,MI,State House,78,general,0.38,0.36,0.03
2020,WI,State House,33,general,0.38,0.38,0
2020,PA,US House,15,general,0.32,0.24,0.08
2020,NC,State Senate,17,general,0.52,0.51,0.01
2020,NC,State House,31,general,0.83,0.86,0.02
2020,UT,State House,29,general,0.24,0.21,0.03
2020,IA,State House,73,general,0.44,0.4,0.04
2020,CA,State House,52,general,0.74,0.7,0.05
2020,SC,State House,25,general,0.68,0.68,0.01
2020,MN,US House,7,general,0.44,0.4,0.04
2020,NC,State House,36,general,0.52,0.53,0.01
2020,NY,State House,31,general,0.88,0.89,0.01
2020,AZ,State House,9,general,0.35,0.37,0.03
2020,CT,State House,87,general,0.37,0.32,0.05
2020,DE,State House,12,general,0.56,0.6,0.04
2020,NC,State House,21,general,0.59,0.53,0.07
2020,MI,State House,26,general,0.68,0.64,0.05
2020,CO,State House,43,general,0.45,0.47,0.02
2020,MO,State House,136,general,0.43,0.41,0.02
2020,OK,State House,62,general,0.49,0.45,0.04
2020,CT,State Senate,7,general,0.46,0.46,0
2020,IA,State House,81,general,0.55,0.47,0.08
2020,OH,US House,13,general,0.6,0.53,0.07
2020,SC,State House,115,general,0.49,0.51,0.01
2020,MN,State House,29B,general,0.38,0.37,0.01
2020,NC,State House,3,general,0.48,0.39,0.09
2020,MO,State House,132,general,0.64,0.63,0.01
2020,CO,State House,47,general,0.52,0.46,0.06
2020,MO,State House,92,general,0.61,0.55,0.06
2020,NH,State Senate,8,general,0.47,0.44,0.03
2020,MI,State House,69,general,0.67,0.69,0.02
2020,OR,State House,53,general,0.43,0.43,0
2020,IL,State House,47,general,0.5,0.46,0.04
2020,MO,US House,8,general,0.26,0.21,0.05
2020,GA,State House,105,general,0.6,0.62,0.02
2020,KY,State House,45,general,0.5,0.48,0.02
2020,NH,State Senate,16,general,0.55,0.52,0.03
2020,UT,State House,5,general,0.22,0.21,0.01
2020,OH,State House,55,general,0.44,0.44,0
2020,IN,State House,51,general,0.25,0.23,0.02
2020,SC,State House,13,general,0.3,0.28,0.02
2020,ME,State House,30,general,0.68,0.7,0.02
2020,NC,State Senate,20,general,0.83,0.84,0.01
2020,ME,State House,56,general,0.39,0.38,0.01
2020,UT,State House,30,general,0.45,0.42,0.03
2020,MT,State House,25,general,0.54,0.47,0.07
2020,OK,State House,90,general,0.4,0.38,0.02
2020,NM,State House,28,general,0.53,0.52,0
2020,ME,State House,55,general,0.6,0.55,0.04
2020,CT,State Senate,29,general,0.58,0.52,0.06
2020,PA,State House,160,general,0.5,0.46,0.04
2020,MO,State House,24,general,0.81,0.89,0.08
2020,MN,US Senate,MN,general,0.53,0.49,0.04
2020,KS,State House,83,general,0.62,0.59,0.03
2020,WI,State House,21,general,0.45,0.45,0.01
2020,KS,State House,23,general,0.53,0.55,0.01
2020,ME,State Senate,8,general,0.41,0.36,0.04
2020,KS,State House,78,general,0.43,0.47,0.04
2020,NC,State House,113,general,0.43,0.4,0.03
2020,MI,State House,52,general,0.63,0.59,0.04
2020,NM,State House,57,general,0.5,0.48,0.02
2020,NY,State House,28,general,0.78,0.84,0.05
2020,KY,US House,6,general,0.5,0.4,0.09
2020,ME,State House,116,general,0.38,0.31,0.07
2020,IA,State House,39,general,0.52,0.49,0.03
2020,IL,State House,50,general,0.44,0.43,0.01
2020,MN,State House,35B,general,0.43,0.4,0.03
2020,NC,US House,11,general,0.46,0.42,0.03
2020,TN,State House,36,general,0.24,0.18,0.06
2020,NC,State House,84,general,0.37,0.31,0.06
2020,GA,State House,25,general,0.37,0.38,0.01
2020,AZ,State House,9,general,0.35,0.37,0.02
2020,MO,State House,139,general,0.27,0.27,0
2020,AZ,State House,22,general,0.13,0.2,0.07
2020,MO,State House,104,general,0.44,0.42,0.02
2020,CA,US House,46,general,0.77,0.72,0.04
2020,ID,State Senate,10,general,0.39,0.35,0.04
2020,PA,State House,36,general,0.65,0.63,0.03
2020,NY,State House,95,general,0.68,0.61,0.07
2020,OH,State House,27,general,0.46,0.47,0.01
2020,ME,State House,143,general,0.56,0.49,0.08
2020,WY,State House,54,general,0.47,0.42,0.05
2020,OK,State House,101,general,0.38,0.32,0.06
2020,NM,State House,63,general,0.49,0.41,0.08
2020,AR,State House,97,general,0.4,0.36,0.04
2020,FL,State House,11,general,0.32,0.32,0.01
2020,MO,State House,99,general,0.52,0.51,0.01
2020,MN,State House,26A,general,0.65,0.64,0.01
2020,CO,State House,21,general,0.41,0.41,0.01
2020,KS,State House,29,general,0.6,0.57,0.03
2020,CT,State House,11,general,0.71,0.7,0.01
2020,MT,State House,64,general,0.45,0.42,0.04
2020,NC,State Senate,22,general,0.62,0.58,0.04
2020,NC,US House,13,general,0.36,0.32,0.04
